Ag15P4S16Cl3,-43m,Polar 
Ag2BiO3,mm2,Polar 
Ag2GePbS4,mm2,Polar 
Ag2GeS3,mm2,Polar 
Ag2H2IOF,2,Polar 
Ag2H4(SO4)3,mm2,Polar 
Ag2HgI4,-4,Polar 
Ag2HgO2,422,Non-polar 
Ag2HgSI2,mm2,Polar 
Ag2PHO4,32,Non-polar 
Ag2PSe3,222,Non-polar 
Ag2TeS3,m,Polar 
Ag3AsS4,mm2,Polar 
Ag3AuSe2,432,Non-polar 
Ag3Ge5P6,-43m,Polar 
Ag3P11,m,Polar 
Ag3PS4,mm2,Polar 
Ag3Sn2(GeP2)3,-43m,Polar 
Ag3Te2Au,432,Non-polar 
Ag4TeSO4,23,Non-polar 
Ag5P(S2Cl)2,mm2,Polar 
Ag7PSe6,23,Non-polar 
Ag8GeS6,mm2,Polar 
Ag8SnS6,mm2,Polar 
Ag8SnSe6,mm2,Polar 
AgBi(IO3)4,m,Polar 
AgClO4,-42m,Polar 
AgH12C4Se5N,m,Polar 
AgHgAsS3,m,Polar 
AgHgSI,222,Non-polar 
AgI,6mm,Polar 
AgI3O8,-4,Polar 
AgIO3,mm2,Polar 
AgNO3,3m,Polar 
Al(BiCl)4,6,Polar 
Al(IO3)3,6,Polar 
Al(SeCl)4,mm2,Polar 
Al2CdCl8,m,Polar 
Al2CdS4,-4,Polar 
Al2CdSe4,-4,Polar 
Al2CdTe4,-4,Polar 
Al2HgS4,-4,Polar 
Al2HgSe4,-4,Polar 
Al2HgTe4,-4,Polar 
Al2PbO4,mm2,Polar 
Al2Se3,m,Polar 
Al2Si3H8(NO5)2,2,Polar 
Al2ZnSe4,-4,Polar 
Al2ZnTe4,-4,Polar 
Al4(B2O5)3,3,Polar 
Al4CO4,mm2,Polar 
Al5BO9,mm2,Polar 
Al6Cd4SO12,-43m,Polar 
Al6Cd4TeO12,-43m,Polar 
Al7(TlS4)3,2,Polar 
AlAgS2,-42m,Polar 
AlAgSe2,-42m,Polar 
AlAgTe2,-42m,Polar 
AlAs,-43m,Polar 
AlAsO4,32,Non-polar 
AlBiSCl4,-4,Polar 
AlBiSeCl4,-4,Polar 
AlBiTeCl4,-4,Polar 
AlCuBr4,-42m,Polar 
AlCuCl4,-42m,Polar 
AlCuS2,-42m,Polar 
AlCuSe2,-42m,Polar 
AlCuTe2,-42m,Polar 
AlICl6,2,Polar 
AlN,6mm,Polar 
AlP,-43m,Polar 
AlP3(NCl3)3,mm2,Polar 
AlPI8,mm2,Polar 
AlPO4,32,Non-polar 
AlPS4,-42m,Polar 
AlSCl7,m,Polar 
AlSb,-43m,Polar 
AlSeCl7,1,Polar 
AlTeI7,m,Polar 
As(S8I)3,3m,Polar 
As2O5,222,Non-polar 
